Команда;Ответ;Контекст
Иди вперед;система->идти_вперед;любой
Иди вперед;система->идти_вперед;передвижение
Двигай вперед;система->идти_вперед;передвижение
Двигай вперед;система->идти_вперед;любой
Вперед;система->идти_вперед;передвижение
Вперед;система->идти_вперед;любой
Поверни налево;система->повернуть_налево;передвижение
Поверни налево;система->повернуть_налево;любой
налево;система->повернуть_налево;передвижение
налево;система->повернуть_налево;любой
Сверни налево;система->повернуть_налево;передвижение
Сверни налево;система->повернуть_налево;любой
Поверни направо;система->повернуть_направо;любой
направо;система->повернуть_направо;передвижение
направо;система->повернуть_направо;любой
сверни направо;система->повернуть_направо;любой
сверни направо;система->повернуть_направо;передвижение
Иди назад;система->закончить_все->вернуться_в_предыдущую_локацию;любой
Иди назад;система->закончить_все->вернуться_в_предыдущую_локацию;передвижение
Иди задом;система->закончить_все->идти_задом;любой
Иди задом;система->закончить_все->идти_задом;передвижение
Вернись назад;система->закончить_все->вернуться_в_предыдущую_локацию;передвижение
Вернись назад;система->закончить_все->вернуться_в_предыдущую_локацию;любой
Иди задом;система->идти_задом;любой
Стой;система->закончить_все;любой
Стой;система->закончить_все;передвижение
Стоп;система->закончить_все;любой
Стоп;система->закончить_все;передвижение
Прекрати;система->закончить_все;любой
Прекрати;система->закончить_все;передвижение
Стоп;система->закончить_все;любой
Прекрати;система->закончить_все;любой
Выведи необработанные данные;система->вывод_цсв_предобработки;любой
Обучение модели;система->обучение;любой
Выведи список команд;система->вывод_списка_команд;любой
Доложить о состоянии системы;система->вывод_статуса;любой
Доложи;система->вывод_статуса;любой
Докладывай;система->вывод_статуса;любой
Иди к креслу 1;система->идти_к_кресло1;любой
Иди к креслу 2;система->идти_к_кресло2;любой
Иди к дивану;система->идти_к_диван;любой
Иди в зал;система->идти_в_зал;любой
иди на кухню;система->идти_в_кухня;любой
иди в комнату 1;система->идти_в_комната1;любой
иди в комнату 2;система->идти_в_комната2;любой
иди в коридор;система->идти_в_коридор;любой
иди на веранду;система->идти_в_веранда;любой
нет, сначала к креслу 1;система->идти_к_кресло1->выполнить_предыдущее_после;любой
нет, сначала к креслу 2;система->идти_к_кресло2->выполнить_предыдущее_после;любой
нет, сначала к дивану;система->идти_к_диван->выполнить_предыдущее_после;любой
нет, сначала в зал;система->идти_в_зал->выполнить_предыдущее_после;любой
нет, сначала на кухню;система->идти_в_кухня->выполнить_предыдущее_после;любой
нет, сначала в комнату 1;система->идти_в_комната1->выполнить_предыдущее_после;любой
нет, сначала в комнату 2;система->идти_в_комната2->выполнить_предыдущее_после;любой
нет, сначала в коридор;система->идти_в_коридор->выполнить_предыдущее_после;любой
нет, сначала на веранду;система->идти_в_веранда->выполнить_предыдущее_после;любой
возьми стакан;система->идти_к_стакан->взять_стакан;любой
набери воду;система->идти_к_раковина->набрать_воду_в_стакан;любой
поставь стакан на столик;система->идти_к_столик->поставить_стакан_на_столик;любой
принеси воды;система->идти_к_стакан->взять_стакан->идти_к_раковина->набрать_воду_в_стакан->идти_к_столик->поставить_стакан_на_столик;любой
нет, сначала лекарство;система->идти_к_лекарство->взять_лекарство->идти_к_столик->поставить_лекарство_на_столик->выполнить_предыдущее_после;любой
Принеси лекарство;система->идти_к_лекарство->взять_лекарство->идти_к_столик->поставить_лекарство_на_столик;любой
Возьми таблетки;система->идти_к_лекарство->взять_лекарство;любой
Возьми лекарство;система->идти_к_лекарство->взять_лекарство;любой
Положи лекарство;система->идти_к_столик->поставить_лекарство_на_столик;любой
