Команда;Ответ;Контекст
Иди вперед;система->идти_вперед;любой
Иди вперед;система->идти_вперед;передвижение
Двигай вперед;система->идти_вперед;передвижение
Двигай вперед;система->идти_вперед;любой
Вперед;система->идти_вперед;передвижение
Вперед;система->идти_вперед;любой
Поверни налево;система->повернуть_налево;передвижение
Поверни налево;система->повернуть_налево;любой
налево;система->повернуть_налево;передвижение
налево;система->повернуть_налево;любой
Сверни налево;система->повернуть_налево;передвижение
Сверни налево;система->повернуть_налево;любой
Поверни направо;система->повернуть_направо;любой
направо;система->повернуть_направо;передвижение
направо;система->повернуть_направо;любой
сверни направо;система->повернуть_направо;любой
сверни направо;система->повернуть_направо;передвижение
Иди назад;система->закончить_все->вернуться_в_предыдущую_локацию;любой
Иди назад;система->закончить_все->вернуться_в_предыдущую_локацию;передвижение
Иди задом;система->закончить_все->идти_задом;любой
Иди задом;система->закончить_все->идти_задом;передвижение
Вернись назад;система->закончить_все->вернуться_в_предыдущую_локацию;передвижение
Вернись назад;система->закончить_все->вернуться_в_предыдущую_локацию;любой
Иди задом;система->идти_задом;любой
Стой;система->закончить_все;любой
Стой;система->закончить_все;передвижение
Стоп;система->закончить_все;любой
Стоп;система->закончить_все;передвижение
Прекрати;система->закончить_все;любой
Прекрати;система->закончить_все;передвижение
Стоп;система->закончить_все;любой
Прекрати;система->закончить_все;любой
Выведи необработанные данные;система->вывод_цсв_предобработки;любой
Обучение модели;система->>закончить_все->обучение;любой
Выведи список команд;система->вывод_списка_команд;любой
Доложить о состоянии системы;система->вывод_статуса;любой
Доложи;система->вывод_статуса;любой
Докладывай;система->вывод_статуса;любой
